            # x            Gamma(x)
      -2.109305           -4.208090
      -2.104802           -4.400924
      -2.100300           -4.611383
      -2.095798           -4.841954
      -2.091296           -5.095615
      -2.086793           -5.375960
      -2.082291           -5.687374
      -2.077789           -6.035252
      -2.073287           -6.426319
      -2.068784           -6.869057
      -2.064282           -7.374329
      -2.059780           -7.956267
      -2.055278           -8.633609
      -2.050775           -9.431737
      -2.046273          -10.385917
      -2.041771          -11.546612
      -2.037269          -12.988677
      -2.032766          -14.828104
      -2.028264          -17.254795
      -2.023762                 NaN
      -2.019260                 NaN
      -2.014757                 NaN
      -2.010255                 NaN
      -2.005753                 NaN
      -2.001251                 NaN
      -1.996748                 NaN
      -1.992246                 NaN
      -1.987744                 NaN
      -1.983242                 NaN
      -1.978739                 NaN
      -1.974237           19.893787
      -1.969735           17.011091
      -1.965233           14.876169
      -1.960730           13.231837
      -1.956228           11.926723
      -1.951726           10.865927
      -1.947224            9.986933
      -1.942721            9.246878
      -1.938219            8.615398
      -1.933717            8.070374
      -1.929215            7.595319
      -1.924712            7.177687
      -1.920210            6.807766
      -1.915708            6.477918
      -1.911206            6.182054
      -1.906703            5.915262
      -1.902201            5.673532
      -1.897699            5.453563
      -1.893197            5.252610
      -1.888694            5.068370
      -1.884192            4.898902
      -1.879690            4.742552
      -1.875188            4.597908
      -1.870685            4.463753
      -1.866183            4.339034
      -1.861681            4.222836
      -1.857179            4.114359
      -1.852676            4.012900
      -1.848174            3.917842
      -1.843672            3.828637
      -1.839170            3.744799
      -1.834667            3.665896
      -1.830165            3.591541
      -1.825663            3.521387
      -1.821161            3.455122
      -1.816658            3.392467
      -1.812156            3.333167
      -1.807654            3.276992
      -1.803152            3.223734
      -1.798649            3.173202
      -1.794147            3.125224
      -1.789645            3.079642
      -1.785143            3.036310
      -1.780640            2.995096
      -1.776138            2.955878
      -1.771636            2.918544
      -1.767134            2.882990
      -1.762631            2.849121
      -1.758129            2.816850
      -1.753627            2.786094
      -1.749125            2.756779
      -1.744622            2.728833
      -1.740120            2.702192
      -1.735618            2.676796
      -1.731116            2.652589
      -1.726613            2.629518
      -1.722111            2.607534
      -1.717609            2.586591
      -1.713107            2.566649
      -1.708604            2.547665
      -1.704102            2.529605
      -1.699600            2.512432
      -1.695098            2.496115
      -1.690595            2.480623
      -1.686093            2.465928
      -1.681591            2.452002
      -1.677089            2.438822
      -1.672586            2.426364
      -1.668084            2.414605
      -1.663582            2.403526
      -1.659080            2.393106
      -1.654577            2.383329
      -1.650075            2.374177
      -1.645573            2.365635
      -1.641071            2.357687
      -1.636568            2.350320
      -1.632066            2.343521
      -1.627564            2.337279
      -1.623062            2.331581
      -1.618559            2.326418
      -1.614057            2.321780
      -1.609555            2.317658
      -1.605053            2.314043
      -1.600550            2.310929
      -1.596048            2.308309
      -1.591546            2.306176
      -1.587044            2.304524
      -1.582541            2.303348
      -1.578039            2.302644
      -1.573537            2.302407
      -1.569035            2.302635
      -1.564532            2.303323
      -1.560030            2.304470
      -1.555528            2.306074
      -1.551026            2.308132
      -1.546523            2.310644
      -1.542021            2.313609
      -1.537519            2.317027
      -1.533017            2.320899
      -1.528514            2.325224
      -1.524012            2.330004
      -1.519510            2.335241
      -1.515008            2.340937
      -1.510505            2.347094
      -1.506003            2.353715
      -1.501501            2.360804
      -1.496998            2.368365
      -1.492496            2.376402
      -1.487994            2.384919
      -1.483492            2.393923
      -1.478989            2.403419
      -1.474487            2.413413
      -1.469985            2.423912
      -1.465483            2.434924
      -1.460980            2.446456
      -1.456478            2.458517
      -1.451976            2.471117
      -1.447474            2.484264
      -1.442971            2.497969
      -1.438469            2.512243
      -1.433967            2.527098
      -1.429465            2.542546
      -1.424962            2.558599
      -1.420460            2.575273
      -1.415958            2.592580
      -1.411456            2.610538
      -1.406953            2.629161
      -1.402451            2.648467
      -1.397949            2.668475
      -1.393447            2.689202
      -1.388944            2.710671
      -1.384442            2.732901
      -1.379940            2.755915
      -1.375438            2.779737
      -1.370935            2.804392
      -1.366433            2.829906
      -1.361931            2.856307
      -1.357429            2.883624
      -1.352926            2.911888
      -1.348424            2.941132
      -1.343922            2.971391
      -1.339420            3.002700
      -1.334917            3.035099
      -1.330415            3.068628
      -1.325913            3.103331
      -1.321411            3.139253
      -1.316908            3.176442
      -1.312406            3.214951
      -1.307904            3.254833
      -1.303402            3.296146
      -1.298899            3.338952
      -1.294397            3.383316
      -1.289895            3.429307
      -1.285393            3.477000
      -1.280890            3.526473
      -1.276388            3.577811
      -1.271886            3.631102
      -1.267384            3.686443
      -1.262881            3.743936
      -1.258379            3.803691
      -1.253877            3.865826
      -1.249375            3.930466
      -1.244872            3.997748
      -1.240370            4.067818
      -1.235868            4.140831
      -1.231366            4.216959
      -1.226863            4.296384
      -1.222361            4.379303
      -1.217859            4.465932
      -1.213357            4.556502
      -1.208854            4.651267
      -1.204352            4.750501
      -1.199850            4.854504
      -1.195348            4.963605
      -1.190845            5.078161
      -1.186343            5.198567
      -1.181841            5.325254
      -1.177339            5.458701
      -1.172836            5.599431
      -1.168334            5.748030
      -1.163832            5.905143
      -1.159330            6.071490
      -1.154827            6.247877
      -1.150325            6.435202
      -1.145823            6.634478
      -1.141321            6.846847
      -1.136818            7.073597
      -1.132316            7.316198
      -1.127814            7.576322
      -1.123312            7.855888
      -1.118809            8.157105
      -1.114307            8.482530
      -1.109805            8.835141
      -1.105303            9.218423
      -1.100800            9.636486
      -1.096298           10.094208
      -1.091796           10.597423
      -1.087294           11.153171
      -1.082791           11.770022
      -1.078289           12.458518
      -1.073787           13.231773
      -1.069285           14.106311
      -1.064782           15.103252
      -1.060280           16.250021
      -1.055778           17.582901
      -1.051276           19.150919
      -1.046773                 NaN
      -1.042271                 NaN
      -1.037769                 NaN
      -1.033267                 NaN
      -1.028764                 NaN
      -1.024262                 NaN
      -1.019760                 NaN
      -1.015258                 NaN
      -1.010755                 NaN
      -1.006253                 NaN
      -1.001751                 NaN
      -0.997249                 NaN
      -0.992746                 NaN
      -0.988244                 NaN
      -0.983742                 NaN
      -0.979240                 NaN
      -0.974737                 NaN
      -0.970235                 NaN
      -0.965733                 NaN
      -0.961231                 NaN
      -0.956728                 NaN
      -0.952226                 NaN
      -0.947724          -19.627371
      -0.943222          -18.117185
      -0.938719          -16.829915
      -0.934217          -15.719797
      -0.929715          -14.752796
      -0.925213          -13.903072
      -0.920710          -13.150652
      -0.916208          -12.479860
      -0.911706          -11.878214
      -0.907204          -11.335657
      -0.902701          -10.843992
      -0.898199          -10.396473
      -0.893697           -9.987497
      -0.889195           -9.612371
      -0.884692           -9.267137
      -0.880190           -8.948431
      -0.875688           -8.653375
      -0.871186           -8.379497
      -0.866683           -8.124656
      -0.862181           -7.886992
      -0.857679           -7.664881
      -0.853177           -7.456898
      -0.848674           -7.261788
      -0.844172           -7.078440
      -0.839670           -6.905869
      -0.835168           -6.743198
      -0.830665           -6.589642
      -0.826163           -6.444500
      -0.821661           -6.307140
      -0.817159           -6.176992
      -0.812656           -6.053542
      -0.808154           -5.936325
      -0.803652           -5.824918
      -0.799150           -5.718934
      -0.794647           -5.618025
      -0.790145           -5.521868
      -0.785643           -5.430171
      -0.781141           -5.342664
      -0.776638           -5.259099
      -0.772136           -5.179249
